Sentence,Intent
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Switch on the bedroom light.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Turn the lights on in the kitchen.,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Can you turn on the lights in the hallway?,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Light up the backyard.,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Can you switch on the porch light?,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Turn on the lights in the garage.,TurnOnLights
Play the latest YouTube video from MrBeast.,YoutubeVideos
Can you play the video tutorial on Python from YouTube?,YoutubeVideos
Play the new vlog from Casey Neistat.,YoutubeVideos
Play that viral cat video on YouTube.,YoutubeVideos
Please play the YouTube video about climate change.,YoutubeVideos
Play some trending YouTube videos.,YoutubeVideos
Play a YouTube video about space exploration.,YoutubeVideos
Can you play a random YouTube video?,YoutubeVideos
Play a cooking video from YouTube.,YoutubeVideos
Play a YouTube playlist of tech reviews.,YoutubeVideos
Play the video highlights from last night's football game.,YoutubeVideos
Play a documentary on YouTube.,YoutubeVideos
Show me YouTube videos about basketball.,YoutubeVideos
Play a YouTube video from the food channel.,YoutubeVideos
Find and play a YouTube video about movies.,YoutubeVideos
Please play some YouTube videos on how to cook.,YoutubeVideos
Play a YouTube playlist of fashion videos.,YoutubeVideos
Play the YouTube vlog about latest gadgets.,YoutubeVideos
Play a random video on YouTube related to comedy.,YoutubeVideos
Can you play the YouTube tutorial on art?,YoutubeVideos
Please play some YouTube videos on basketball.,YoutubeVideos
Play the YouTube vlog about technology.,YoutubeVideos
Please play some YouTube videos on gaming.,YoutubeVideos
Play the YouTube video about fitness.,YoutubeVideos
Play a documentary on YouTube about science.,YoutubeVideos
Play a YouTube playlist of space exploration videos.,YoutubeVideos
Play a random video on YouTube related to cats.,YoutubeVideos
Can you play the YouTube tutorial on fitness?,YoutubeVideos
Play the YouTube video about dogs.,YoutubeVideos
Play a documentary on YouTube about football.,YoutubeVideos
Play a YouTube video from the wildlife channel.,YoutubeVideos
Play the YouTube vlog about latest gadgets.,YoutubeVideos
Play a random video on YouTube related to cars.,YoutubeVideos
Play a YouTube playlist of fashion videos.,YoutubeVideos
Play a YouTube playlist of gaming videos.,YoutubeVideos
Play the YouTube vlog about celebrity interviews.,YoutubeVideos
Play the latest YouTube video on tech reviews.,YoutubeVideos
Play the latest YouTube video on movie trailers.,YoutubeVideos
Play a documentary on YouTube about cars.,YoutubeVideos
Play the latest YouTube video on fashion.,YoutubeVideos
Play the YouTube vlog about wildlife.,YoutubeVideos
Play a YouTube video from the news channel.,YoutubeVideos
Play the YouTube vlog about fitness.,YoutubeVideos
Play a YouTube playlist of AI videos.,YoutubeVideos
Please play some YouTube videos on food.,YoutubeVideos
Show me YouTube videos about food.,YoutubeVideos
Please play some YouTube videos on tech reviews.,YoutubeVideos
Play a YouTube playlist of how to cook videos.,YoutubeVideos
Play a YouTube video from the movies channel.,YoutubeVideos
Play the YouTube vlog about fitness.,YoutubeVideos
Play the top trending YouTube video on news.,YoutubeVideos
Play a YouTube video from the space exploration channel.,YoutubeVideos
Play a random video on YouTube related to DIY projects.,YoutubeVideos
Play a documentary on YouTube about movies.,YoutubeVideos
Can you play the YouTube tutorial on machine learning?,YoutubeVideos
Show me YouTube videos about football.,YoutubeVideos
Play the YouTube video about latest gadgets.,YoutubeVideos
Can you play the YouTube tutorial on latest gadgets?,YoutubeVideos
Play the YouTube video about basketball.,YoutubeVideos
Play a YouTube video from the cats channel.,YoutubeVideos
Play the YouTube vlog about tech reviews.,YoutubeVideos
Play the latest YouTube video on football.,YoutubeVideos
Play a YouTube video from the how to cook channel.,YoutubeVideos
Show me YouTube videos about dogs.,YoutubeVideos
Please play some YouTube videos on wildlife.,YoutubeVideos
Show me YouTube videos about news.,YoutubeVideos
Play a documentary on YouTube about movies.,YoutubeVideos
Play the YouTube video about how to cook.,YoutubeVideos
Play a documentary on YouTube about vlogs.,YoutubeVideos
Play a YouTube playlist of latest gadgets videos.,YoutubeVideos
Show me YouTube videos about fitness.,YoutubeVideos
Find and play a YouTube video about fashion.,YoutubeVideos
Find and play a YouTube video about wildlife.,YoutubeVideos
Play a random video on YouTube related to machine learning.,YoutubeVideos
Find and play a YouTube video about machine learning.,YoutubeVideos
Play a YouTube playlist of technology videos.,YoutubeVideos
Can you play the YouTube tutorial on fashion?,YoutubeVideos
Play the YouTube vlog about art.,YoutubeVideos
Play a YouTube video from the vlogs channel.,YoutubeVideos
Play a YouTube playlist of documentaries videos.,YoutubeVideos
Play a YouTube video from the cats channel.,YoutubeVideos
Can you play the YouTube tutorial on sports highlights?,YoutubeVideos
Play a YouTube video from the basketball channel.,YoutubeVideos
Can you play the YouTube tutorial on comedy?,YoutubeVideos
Play the top trending YouTube video on climate change.,YoutubeVideos
Can you play the YouTube tutorial on latest gadgets?,YoutubeVideos
Play a YouTube playlist of basketball videos.,YoutubeVideos
Find and play a YouTube video about wildlife.,YoutubeVideos
Play the latest YouTube video on Python programming.,YoutubeVideos
Play the latest YouTube video on science.,YoutubeVideos
Play a YouTube video from the wildlife channel.,YoutubeVideos
Play a documentary on YouTube about science.,YoutubeVideos
Play a YouTube playlist of celebrity interviews videos.,YoutubeVideos
Play the YouTube video about fashion.,YoutubeVideos
Show me YouTube videos about AI.,YoutubeVideos
Find and play a YouTube video about cats.,YoutubeVideos
Play the YouTube vlog about dogs.,YoutubeVideos
Play the YouTube vlog about sports highlights.,YoutubeVideos
Find and play a YouTube video about art.,YoutubeVideos
Find and play a YouTube video about history.,YoutubeVideos
Play a documentary on YouTube about DIY projects.,YoutubeVideos
Play a documentary on YouTube about dogs.,YoutubeVideos
Can you play the YouTube tutorial on machine learning?,YoutubeVideos
Can you play the YouTube tutorial on travel?,YoutubeVideos
Play a YouTube playlist of technology videos.,YoutubeVideos
Find and play a YouTube video about AI.,YoutubeVideos
Can you play the YouTube tutorial on latest gadgets?,YoutubeVideos
Play a documentary on YouTube about music videos.,YoutubeVideos
Play a random video on YouTube related to machine learning.,YoutubeVideos
Play the YouTube vlog about food.,YoutubeVideos
Play a random video on YouTube related to comedy.,YoutubeVideos
Can you play the YouTube tutorial on cars?,YoutubeVideos
Translate 'hello' to Spanish.,Translate
Translate 'goodbye' to Spanish.,Translate
Translate 'how are you' to Spanish.,Translate
Translate 'thank you' to Spanish.,Translate
Translate 'what time is it' to Spanish.,Translate
Translate 'where is the train station' to Spanish.,Translate
Translate 'can I have a coffee' to Spanish.,Translate
Translate 'good morning' to Spanish.,Translate
Translate 'have a nice day' to Spanish.,Translate
Translate 'please' to Spanish.,Translate
Translate 'excuse me' to Spanish.,Translate
Translate 'see you later' to Spanish.,Translate
Translate 'I'm sorry' to Spanish.,Translate
Translate 'I love you' to Spanish.,Translate
Translate 'where is the hotel' to Spanish.,Translate
Translate 'how much is this' to Spanish.,Translate
Translate 'what's your name' to Spanish.,Translate
Translate 'can you help me' to Spanish.,Translate
Translate 'I'm lost' to Spanish.,Translate
Translate 'I don't understand' to Spanish.,Translate
Translate 'hello' to Spanish.,Translate
Translate 'goodbye' to Spanish.,Translate
Translate 'how are you' to Spanish.,Translate
Translate 'thank you' to Spanish.,Translate
Translate 'what time is it' to Spanish.,Translate
Translate 'where is the train station' to Spanish.,Translate
Translate 'can I have a coffee' to Spanish.,Translate
Translate 'good morning' to Spanish.,Translate
Translate 'have a nice day' to Spanish.,Translate
Translate 'please' to Spanish.,Translate
Translate 'excuse me' to Spanish.,Translate
Translate 'see you later' to Spanish.,Translate
Translate 'I'm sorry' to Spanish.,Translate
Translate 'I love you' to Spanish.,Translate
Translate 'where is the hotel' to Spanish.,Translate
Translate 'how much is this' to Spanish.,Translate
Translate 'what's your name' to Spanish.,Translate
Translate 'can you help me' to Spanish.,Translate
Translate 'I'm lost' to Spanish.,Translate
Translate 'I don't understand' to Spanish.,Translate
Translate 'hello' to Spanish.,Translate
Translate 'goodbye' to Spanish.,Translate
Translate 'how are you' to Spanish.,Translate
Translate 'thank you' to Spanish.,Translate
Translate 'what time is it' to Spanish.,Translate
Translate 'where is the train station' to Spanish.,Translate
Translate 'can I have a coffee' to Spanish.,Translate
Translate 'good morning' to Spanish.,Translate
Translate 'have a nice day' to Spanish.,Translate
Translate 'please' to Spanish.,Translate
Translate 'excuse me' to Spanish.,Translate
Translate 'see you later' to Spanish.,Translate
Translate 'I'm sorry' to Spanish.,Translate
Translate 'I love you' to Spanish.,Translate
Translate 'where is the hotel' to Spanish.,Translate
Translate 'how much is this' to Spanish.,Translate
Translate 'what's your name' to Spanish.,Translate
Translate 'can you help me' to Spanish.,Translate
Translate 'I'm lost' to Spanish.,Translate
Translate 'I don't understand' to Spanish.,Translate
Translate 'hello' to Spanish.,Translate
Translate 'goodbye' to Spanish.,Translate
Translate 'how are you' to Spanish.,Translate
Translate 'thank you' to Spanish.,Translate
Translate 'what time is it' to Spanish.,Translate
Translate 'where is the train station' to Spanish.,Translate
Translate 'can I have a coffee' to Spanish.,Translate
Translate 'good morning' to Spanish.,Translate
Translate 'have a nice day' to Spanish.,Translate
Translate 'please' to Spanish.,Translate
Translate 'excuse me' to Spanish.,Translate
Translate 'see you later' to Spanish.,Translate
Translate 'I'm sorry' to Spanish.,Translate
Translate 'I love you' to Spanish.,Translate
Translate 'where is the hotel' to Spanish.,Translate
Translate 'how much is this' to Spanish.,Translate
Translate 'what's your name' to Spanish.,Translate
Translate 'can you help me' to Spanish.,Translate
Translate 'I'm lost' to Spanish.,Translate
Translate 'I don't understand' to Spanish.,Translate
Translate 'hello' to Spanish.,Translate
Translate 'goodbye' to Spanish.,Translate
Translate 'how are you' to Spanish.,Translate
Translate 'thank you' to Spanish.,Translate
Translate 'what time is it' to Spanish.,Translate
Translate 'where is the train station' to Spanish.,Translate
Translate 'can I have a coffee' to Spanish.,Translate
Translate 'good morning' to Spanish.,Translate
Translate 'have a nice day' to Spanish.,Translate
Translate 'please' to Spanish.,Translate
Translate 'excuse me' to Spanish.,Translate
Translate 'see you later' to Spanish.,Translate
Translate 'I'm sorry' to Spanish.,Translate
Translate 'I love you' to Spanish.,Translate
Translate 'where is the hotel' to Spanish.,Translate
Translate 'how much is this' to Spanish.,Translate
Translate 'what's your name' to Spanish.,Translate
Translate 'can you help me' to Spanish.,Translate
Translate 'I'm lost' to Spanish.,Translate
Translate 'I don't understand' to Spanish.,Translate
What is the stock price of Apple today?,StockMarketQuery
What is the stock price of Tesla today?,StockMarketQuery
What is the stock price of Amazon today?,StockMarketQuery
What is the stock price of Microsoft today?,StockMarketQuery
How did Google perform in the last quarter?,StockMarketQuery
How did Netflix perform in the last quarter?,StockMarketQuery
How did NVIDIA perform in the last quarter?,StockMarketQuery
How did IBM perform in the last quarter?,StockMarketQuery
Show me the latest news on Visa stock.,StockMarketQuery
Show me the latest news on Coca-Cola stock.,StockMarketQuery
Show me the latest news on Pepsi stock.,StockMarketQuery
Show me the latest news on Uber stock.,StockMarketQuery
Should I buy or sell Samsung shares?,StockMarketQuery
Should I buy or sell Adobe shares?,StockMarketQuery
Should I buy or sell Sony shares?,StockMarketQuery
Should I buy or sell PayPal shares?,StockMarketQuery
What is the forecast for Ford's stock price?,StockMarketQuery
What is the forecast for Boeing's stock price?,StockMarketQuery
What is the forecast for Intel's stock price?,StockMarketQuery
What is the forecast for Facebook's stock price?,StockMarketQuery
What is the stock price of Apple today?,StockMarketQuery
What is the stock price of Tesla today?,StockMarketQuery
What is the stock price of Amazon today?,StockMarketQuery
What is the stock price of Microsoft today?,StockMarketQuery
How did Google perform in the last quarter?,StockMarketQuery
How did Netflix perform in the last quarter?,StockMarketQuery
How did NVIDIA perform in the last quarter?,StockMarketQuery
How did IBM perform in the last quarter?,StockMarketQuery
Show me the latest news on Visa stock.,StockMarketQuery
Show me the latest news on Coca-Cola stock.,StockMarketQuery
Show me the latest news on Pepsi stock.,StockMarketQuery
Show me the latest news on Uber stock.,StockMarketQuery
Should I buy or sell Samsung shares?,StockMarketQuery
Should I buy or sell Adobe shares?,StockMarketQuery
Should I buy or sell Sony shares?,StockMarketQuery
Should I buy or sell PayPal shares?,StockMarketQuery
What is the forecast for Ford's stock price?,StockMarketQuery
What is the forecast for Boeing's stock price?,StockMarketQuery
What is the forecast for Intel's stock price?,StockMarketQuery
What is the forecast for Facebook's stock price?,StockMarketQuery
What is the stock price of Apple today?,StockMarketQuery
What is the stock price of Tesla today?,StockMarketQuery
What is the stock price of Amazon today?,StockMarketQuery
What is the stock price of Microsoft today?,StockMarketQuery
How did Google perform in the last quarter?,StockMarketQuery
How did Netflix perform in the last quarter?,StockMarketQuery
How did NVIDIA perform in the last quarter?,StockMarketQuery
How did IBM perform in the last quarter?,StockMarketQuery
Show me the latest news on Visa stock.,StockMarketQuery
Show me the latest news on Coca-Cola stock.,StockMarketQuery
Show me the latest news on Pepsi stock.,StockMarketQuery
Show me the latest news on Uber stock.,StockMarketQuery
Should I buy or sell Samsung shares?,StockMarketQuery
Should I buy or sell Adobe shares?,StockMarketQuery
Should I buy or sell Sony shares?,StockMarketQuery
Should I buy or sell PayPal shares?,StockMarketQuery
What is the forecast for Ford's stock price?,StockMarketQuery
What is the forecast for Boeing's stock price?,StockMarketQuery
What is the forecast for Intel's stock price?,StockMarketQuery
What is the forecast for Facebook's stock price?,StockMarketQuery
What is the stock price of Apple today?,StockMarketQuery
What is the stock price of Tesla today?,StockMarketQuery
What is the stock price of Amazon today?,StockMarketQuery
What is the stock price of Microsoft today?,StockMarketQuery
How did Google perform in the last quarter?,StockMarketQuery
How did Netflix perform in the last quarter?,StockMarketQuery
How did NVIDIA perform in the last quarter?,StockMarketQuery
How did IBM perform in the last quarter?,StockMarketQuery
Show me the latest news on Visa stock.,StockMarketQuery
Show me the latest news on Coca-Cola stock.,StockMarketQuery
Show me the latest news on Pepsi stock.,StockMarketQuery
Show me the latest news on Uber stock.,StockMarketQuery
Should I buy or sell Samsung shares?,StockMarketQuery
Should I buy or sell Adobe shares?,StockMarketQuery
Should I buy or sell Sony shares?,StockMarketQuery
Should I buy or sell PayPal shares?,StockMarketQuery
What is the forecast for Ford's stock price?,StockMarketQuery
What is the forecast for Boeing's stock price?,StockMarketQuery
What is the forecast for Intel's stock price?,StockMarketQuery
What is the forecast for Facebook's stock price?,StockMarketQuery
What is the stock price of Apple today?,StockMarketQuery
What is the stock price of Tesla today?,StockMarketQuery
What is the stock price of Amazon today?,StockMarketQuery
What is the stock price of Microsoft today?,StockMarketQuery
How did Google perform in the last quarter?,StockMarketQuery
How did Netflix perform in the last quarter?,StockMarketQuery
How did NVIDIA perform in the last quarter?,StockMarketQuery
How did IBM perform in the last quarter?,StockMarketQuery
Show me the latest news on Visa stock.,StockMarketQuery
Show me the latest news on Coca-Cola stock.,StockMarketQuery
Show me the latest news on Pepsi stock.,StockMarketQuery
Show me the latest news on Uber stock.,StockMarketQuery
Should I buy or sell Samsung shares?,StockMarketQuery
Should I buy or sell Adobe shares?,StockMarketQuery
Should I buy or sell Sony shares?,StockMarketQuery
Should I buy or sell PayPal shares?,StockMarketQuery
What is the forecast for Ford's stock price?,StockMarketQuery
What is the forecast for Boeing's stock price?,StockMarketQuery
What is the forecast for Intel's stock price?,StockMarketQuery
What is the forecast for Facebook's stock price?,StockMarketQuery
Open YouTube.,Initialize
Open Spotify.,Initialize
Open Google Chrome.,Initialize
Open Slack.,Initialize
Open Zoom.,Initialize
Start Microsoft Word.,Initialize
Start Excel.,Initialize
Start PowerPoint.,Initialize
Start Visual Studio.,Initialize
Start Photoshop.,Initialize
Launch Firefox.,Initialize
Launch Steam.,Initialize
Launch Discord.,Initialize
Launch Notepad.,Initialize
Launch Teams.,Initialize
Can you open WhatsApp for me?,Initialize
Can you open Telegram for me?,Initialize
Can you open Outlook for me?,Initialize
Can you open VLC Player for me?,Initialize
Can you open Gmail for me?,Initialize
I need to start Calculator.,Initialize
I need to start Calendar.,Initialize
I need to start Maps.,Initialize
I need to start Twitter.,Initialize
I need to start Instagram.,Initialize
Open YouTube.,Initialize
Open Spotify.,Initialize
Open Google Chrome.,Initialize
Open Slack.,Initialize
Open Zoom.,Initialize
Start Microsoft Word.,Initialize
Start Excel.,Initialize
Start PowerPoint.,Initialize
Start Visual Studio.,Initialize
Start Photoshop.,Initialize
Launch Firefox.,Initialize
Launch Steam.,Initialize
Launch Discord.,Initialize
Launch Notepad.,Initialize
Launch Teams.,Initialize
Can you open WhatsApp for me?,Initialize
Can you open Telegram for me?,Initialize
Can you open Outlook for me?,Initialize
Can you open VLC Player for me?,Initialize
Can you open Gmail for me?,Initialize
I need to start Calculator.,Initialize
I need to start Calendar.,Initialize
I need to start Maps.,Initialize
I need to start Twitter.,Initialize
I need to start Instagram.,Initialize
Open YouTube.,Initialize
Open Spotify.,Initialize
Open Google Chrome.,Initialize
Open Slack.,Initialize
Open Zoom.,Initialize
Start Microsoft Word.,Initialize
Start Excel.,Initialize
Start PowerPoint.,Initialize
Start Visual Studio.,Initialize
Start Photoshop.,Initialize
Launch Firefox.,Initialize
Launch Steam.,Initialize
Launch Discord.,Initialize
Launch Notepad.,Initialize
Launch Teams.,Initialize
Can you open WhatsApp for me?,Initialize
Can you open Telegram for me?,Initialize
Can you open Outlook for me?,Initialize
Can you open VLC Player for me?,Initialize
Can you open Gmail for me?,Initialize
I need to start Calculator.,Initialize
I need to start Calendar.,Initialize
I need to start Maps.,Initialize
I need to start Twitter.,Initialize
I need to start Instagram.,Initialize
Open YouTube.,Initialize
Open Spotify.,Initialize
Open Google Chrome.,Initialize
Open Slack.,Initialize
Open Zoom.,Initialize
Start Microsoft Word.,Initialize
Start Excel.,Initialize
Start PowerPoint.,Initialize
Start Visual Studio.,Initialize
Start Photoshop.,Initialize
Launch Firefox.,Initialize
Launch Steam.,Initialize
Launch Discord.,Initialize
Launch Notepad.,Initialize
Launch Teams.,Initialize
Can you open WhatsApp for me?,Initialize
Can you open Telegram for me?,Initialize
Can you open Outlook for me?,Initialize
Can you open VLC Player for me?,Initialize
Can you open Gmail for me?,Initialize
I need to start Calculator.,Initialize
I need to start Calendar.,Initialize
I need to start Maps.,Initialize
I need to start Twitter.,Initialize
I need to start Instagram.,Initialize
Tell me a joke.,Joke
Make me laugh.,Joke
Do you know any funny jokes?,Joke
Say something funny.,Joke
Can you tell me a dad joke?,Joke
I need a good laugh.,Joke
Tell me a knock-knock joke.,Joke
Got any puns?,Joke
Can you share a one-liner?,Joke
What’s the funniest joke you know?,Joke
Entertain me with a joke.,Joke
Can you cheer me up with a joke?,Joke
Tell a light-hearted joke.,Joke
Say a witty joke.,Joke
Tell a programmer joke.,Joke
Do you know any animal jokes?,Joke
Tell a science-related joke.,Joke
Can you make a joke about robots?,Joke
What’s your best joke about food?,Joke
Do you know any jokes about work?,Joke
Can you tell a school-related joke?,Joke
Got any Christmas jokes?,Joke
What’s the funniest pun you've got?,Joke
Do you know any corny jokes?,Joke
Can you say a cheesy joke?,Joke
Tell me a joke.,Joke
Make me laugh.,Joke
Do you know any funny jokes?,Joke
Say something funny.,Joke
Can you tell me a dad joke?,Joke
I need a good laugh.,Joke
Tell me a knock-knock joke.,Joke
Got any puns?,Joke
Can you share a one-liner?,Joke
What’s the funniest joke you know?,Joke
Entertain me with a joke.,Joke
Can you cheer me up with a joke?,Joke
Tell a light-hearted joke.,Joke
Say a witty joke.,Joke
Tell a programmer joke.,Joke
Do you know any animal jokes?,Joke
Tell a science-related joke.,Joke
Can you make a joke about robots?,Joke
What’s your best joke about food?,Joke
Do you know any jokes about work?,Joke
Can you tell a school-related joke?,Joke
Got any Christmas jokes?,Joke
What’s the funniest pun you've got?,Joke
Do you know any corny jokes?,Joke
Can you say a cheesy joke?,Joke
Tell me a joke.,Joke
Make me laugh.,Joke
Do you know any funny jokes?,Joke
Say something funny.,Joke
Can you tell me a dad joke?,Joke
I need a good laugh.,Joke
Tell me a knock-knock joke.,Joke
Got any puns?,Joke
Can you share a one-liner?,Joke
What’s the funniest joke you know?,Joke
Entertain me with a joke.,Joke
Can you cheer me up with a joke?,Joke
Tell a light-hearted joke.,Joke
Say a witty joke.,Joke
Tell a programmer joke.,Joke
Do you know any animal jokes?,Joke
Tell a science-related joke.,Joke
Can you make a joke about robots?,Joke
What’s your best joke about food?,Joke
Do you know any jokes about work?,Joke
Can you tell a school-related joke?,Joke
Got any Christmas jokes?,Joke
What’s the funniest pun you've got?,Joke
Do you know any corny jokes?,Joke
Can you say a cheesy joke?,Joke
Tell me a joke.,Joke
Make me laugh.,Joke
Do you know any funny jokes?,Joke
Say something funny.,Joke
Can you tell me a dad joke?,Joke
I need a good laugh.,Joke
Tell me a knock-knock joke.,Joke
Got any puns?,Joke
Can you share a one-liner?,Joke
What’s the funniest joke you know?,Joke
Entertain me with a joke.,Joke
Can you cheer me up with a joke?,Joke
Tell a light-hearted joke.,Joke
Say a witty joke.,Joke
Tell a programmer joke.,Joke
Do you know any animal jokes?,Joke
Tell a science-related joke.,Joke
Can you make a joke about robots?,Joke
What’s your best joke about food?,Joke
Do you know any jokes about work?,Joke
Can you tell a school-related joke?,Joke
Got any Christmas jokes?,Joke
What’s the funniest pun you've got?,Joke
Do you know any corny jokes?,Joke
Can you say a cheesy joke?,Joke
